TEAM_ID,PLAYER_ID,SEASON
1610612761,202695,2018
1610612761,1627783,2018
1610612761,201188,2018
1610612761,201980,2018
1610612761,200768,2018
1610612761,1627832,2018
1610612761,201586,2018
1610612761,1626181,2018
1610612761,1628384,2018
1610612761,202391,2018
1610612761,1627775,2018
1610612761,201975,2018
1610612761,1626259,2018
1610612744,2738,2018
1610612744,203110,2018
1610612744,1626172,2018
1610612744,202691,2018
1610612744,201939,2018
1610612744,101106,2018
1610612744,1628035,2018
1610612744,202326,2018
1610612744,1626188,2018
1610612744,2733,2018
1610612744,201973,2018
1610612744,1628395,2018
1610612744,1628980,2018
1610612744,201142,2018
1610612761,1628449,2018
1610612761,203961,2018
1610612744,1627745,2018
1610612749,203114,2018
1610612749,203507,2018
1610612749,201572,2018
1610612749,1627763,2018
1610612749,202339,2018
1610612749,201588,2018
1610612749,101141,2018
1610612749,1626192,2018
1610612749,1628425,2018
1610612749,204025,2018
1610612749,202703,2018
1610612749,203503,2018
1610612749,1628391,2018
1610612757,203090,2018
1610612757,202329,2018
1610612757,203086,2018
1610612757,203468,2018
1610612757,203081,2018
1610612757,203918,2018
1610612757,1628380,2018
1610612757,203552,2018
1610612757,202683,2018
1610612757,202323,2018
1610612757,1627746,2018
1610612757,1627774,2018
1610612757,1629014,2018
1610612743,1628470,2018
1610612743,200794,2018
1610612743,203999,2018
1610612743,203914,2018
1610612743,1627750,2018
1610612743,203486,2018
1610612743,203115,2018
1610612743,1627736,2018
1610612743,1628420,2018
1610612743,1627823,2018
1610612743,1626168,2018
1610612743,202738,2018
1610612743,1629020,2018
1610612755,202710,2018
1610612755,202699,2018
1610612755,203954,2018
1610612755,200755,2018
1610612755,1627732,2018
1610612755,203516,2018
1610612755,202328,2018
1610612755,203118,2018
1610612755,1628413,2018
1610612755,101161,2018
1610612755,1626246,2018
1610612755,204456,2018
1610612755,203613,2018
1610612745,201569,2018
1610612745,200782,2018
1610612745,203991,2018
1610612745,201935,2018
1610612745,101108,2018
1610612745,2403,2018
1610612745,203085,2018
1610612745,202697,2018
1610612745,101123,2018
1610612745,1629109,2018
1610612745,202702,2018
1610612745,1628392,2018
1610612745,1627863,2018
1610612738,1628369,2018
1610612738,201143,2018
1610612738,203382,2018
1610612738,1627759,2018
1610612738,202681,2018
1610612738,202694,2018
1610612738,202330,2018
1610612738,203935,2018
1610612738,1626179,2018
1610612738,1628464,2018
1610612738,1627824,2018
1610612738,1628400,2018
1610612738,202954,2018
1610612745,1626187,2018
1610612738,1629057,2018
1610612755,1627788,2018
1610612745,1629185,2018
1610612755,1629015,2018
1610612759,201942,2018
1610612759,200746,2018
1610612759,1627751,2018
1610612759,1627854,2018
1610612759,1628401,2018
1610612759,200752,2018
1610612759,201988,2018
1610612759,201158,2018
1610612759,202722,2018
1610612759,201967,2018
1610612759,202700,2018
1610612759,202347,2018
1610612759,1629022,2018
1610612746,201976,2018
1610612746,201568,2018
1610612746,203210,2018
1610612746,1629013,2018
1610612746,1628983,2018
1610612746,101150,2018
1610612746,1626149,2018
1610612746,202066,2018
1610612746,1628414,2018
1610612746,1629010,2018
1610612746,1627826,2018
1610612746,201163,2018
1610612746,1627820,2018
1610612762,204060,2018
1610612762,203109,2018
1610612762,203497,2018
1610612762,1628378,2018
1610612762,201937,2018
1610612762,1626220,2018
1610612762,200757,2018
1610612762,1627777,2018
1610612762,202324,2018
1610612762,1628960,2018
1610612762,2594,2018
1610612762,203526,2018
1610612762,202327,2018
1610612753,1628371,2018
1610612753,203932,2018
1610612753,202696,2018
1610612753,203095,2018
1610612753,201571,2018
1610612753,203082,2018
1610612753,203920,2018
1610612753,203487,2018
1610612753,1628411,2018
1610612753,1626185,2018
1610612753,1628982,2018
1610612753,1626170,2018
1610612751,203925,2018
1610612751,201162,2018
1610612751,1628386,2018
1610612751,1627747,2018
1610612751,1626156,2018
1610612751,1626203,2018
1610612751,203915,2018
1610612751,1626178,2018
1610612751,201960,2018
1610612751,1629066,2018
1610612751,203894,2018
1610612751,1629033,2018
1610612751,1629058,2018
1610612760,202331,2018
1610612760,203924,2018
1610612760,203500,2018
1610612760,1628390,2018
1610612760,201566,2018
1610612760,203457,2018
1610612760,203471,2018
1610612760,202693,2018
1610612760,101109,2018
1610612760,1629126,2018
1610612760,1627846,2018
1610612760,202335,2018
1610612765,1628971,2018
1610612765,201933,2018
1610612765,203083,2018
1610612765,201961,2018
1610612765,202704,2018
1610612765,1628379,2018
1610612765,204038,2018
1610612765,202397,2018
1610612765,1627748,2018
1610612765,203922,2018
1610612765,101181,2018
1610612765,1629017,2018
1610612765,2585,2018
1610612738,1626780,2018
1610612754,202711,2018
1610612754,201152,2018
1610612754,1626167,2018
1610612754,202083,2018
1610612754,201954,2018
1610612754,201936,2018
1610612754,1627734,2018
1610612754,1628988,2018
1610612754,202709,2018
1610612754,1628388,2018
1610612754,203926,2018
1610612754,203124,2018
1610612754,1628410,2018
1610612751,202334,2018
1610612765,202720,2018
1610612760,1628977,2018
1610612754,1628993,2018
1610612754,1628432,2018
1610612737,1627752,2018
1610612737,1628381,2018
1610612737,203458,2018
1610612737,1628989,2018
1610612737,1629027,2018
1610612737,1627761,2018
1610612737,1713,2018
1610612737,1629121,2018
1610612737,203145,2018
1610612737,1627738,2018
1610612737,1626147,2018
1610612737,1629353,2018
1610612748,1626159,2018
1610612748,203482,2018
1610612748,2617,2018
1610612748,2548,2018
1610612748,201609,2018
1610612748,1627884,2018
1610612748,1628389,2018
1610612748,201949,2018
1610612748,1629130,2018
1610612748,203079,2018
1610612748,1628999,2018
1610612748,201583,2018
1610612748,202355,2018
1610612751,1626210,2018
1610612753,1628518,2018
1610612753,1628505,2018
1610612766,201587,2018
1610612766,1628970,2018
1610612766,202687,2018
1610612766,1628407,2018
1610612766,202689,2018
1610612766,203087,2018
1610612766,1626163,2018
1610612766,1628370,2018
1610612766,1628984,2018
1610612766,203077,2018
1610612766,1626195,2018
1610612766,202714,2018
1610612766,2225,2018
1610612752,1628995,2018
1610612752,1628436,2018
1610612752,1629011,2018
1610612752,1628422,2018
1610612752,1626209,2018
1610612752,1628443,2018
1610612752,1627740,2018
1610612752,203098,2018
1610612752,1628439,2018
1610612752,1628656,2018
1610612752,201599,2018
1610612752,1628372,2018
1610612752,202498,2018
1610612741,1627782,2018
1610612741,1627789,2018
1610612741,201577,2018
1610612741,1627885,2018
1610612741,1627853,2018
1610612741,1629102,2018
1610612741,1626245,2018
1610612741,1627215,2018
1610612741,1628469,2018
1610612741,1628959,2018
1610612741,1628990,2018
1610612755,1629003,2018
1610612755,1629312,2018
1610612744,1627814,2018
1610612744,1629094,2018
1610612763,203200,2018
1610612763,203998,2018
1610612763,1628397,2018
1610612763,1628416,2018
1610612763,1626153,2018
1610612763,203092,2018
